,gene_ids
377,AC068286.2
378,FAM49A
379,GEN1
380,LINC01376
381,WDR35
382,LDAH
383,AC018742.1
384,AC018467.1
385,KLHL29
386,PFN4
387,AC008073.2
388,AC093798.1
389,EFR3B
390,DTNB
391,DPYSL5
392,GCKR
393,LINC01460
394,RBKS
395,BABAM2
396,AC016907.2
397,LCLAT1
398,GALNT14
399,AL121655.1
400,AL133243.1
401,RASGRP3
402,AC017050.1
403,LINC01320
404,CRIM1
405,VIT
406,AC006369.1
407,RMDN2
408,CYP1B1-AS1
409,HNRNPLL
410,DHX57
411,ARHGEF33
412,SOS1
413,MAP4K3
414,MAP4K3-DT
415,SLC8A1-AS1
416,KCNG3
417,LINC01819
418,PLEKHH2
419,DYNC2LI1
420,ABCG5
421,CAMKMT
422,SRBD1
423,PRKCE
424,EPAS1
425,LINC01118
426,EPCAM-DT
427,AC092650.1
428,AC009975.1
429,AC010967.1
430,ACYP2
431,EML6
432,RTN4
433,AC012358.3
434,CCDC88A
435,CCDC85A
436,AC132153.1
437,VRK2
438,FANCL
439,LINC01122
440,LINC01793
441,AC007100.1
442,BCL11A
443,REL
444,KIAA1841
445,COMMD1
446,EHBP1
447,WDPCP
448,VPS54
449,PELI1
450,LGALSL-DT
451,LINC02579
452,SERTAD2
453,AC007365.1
454,LINC02245
455,SPRED2
456,AC012370.2
457,LINC01873
458,MEIS1
459,LINC01829
460,PLEK
461,APLF
462,ARHGAP25
463,ANTXR1
464,ANXA4
465,ADD2
466,CLEC4F
467,ANKRD53
468,AC007040.1
469,EXOC6B
470,DCTN1-AS1
471,AC005041.4
472,DQX1
473,LOXL3
474,M1AP
475,AC007681.1
476,EVA1A
477,DNAH6
478,LINC01964
479,GNLY
480,CD8A
481,CD8B
482,AC068279.2
483,LINC01943
484,CYTOR
485,EIF2AK3
486,IGKC
487,MAL
488,CNNM3-DT
489,MGAT4A
490,TSGA10
491,AC079447.1
492,AFF3
493,LONRF2
494,NPAS2
495,TBC1D8
496,RFX8
497,IL1R2
498,IL1R1
499,IL18R1
500,IL18RAP
501,TMEM182
502,MRPS9
503,AC018802.2
504,AC096669.1
505,LINC01885
506,LIMS1
507,CCDC138
508,EDAR
509,SH3RF3
510,NPHP1
511,ACOXL
512,MIR4435-2HG
513,AC108463.2
514,ZC3H6
515,AC012442.1
516,AC016683.1
517,AC016745.1
518,DPP10
519,AC009312.1
520,EPB41L5
521,NIFK-AS1
522,AC011246.1
523,CYP27C1
524,LINC02572
525,GPR39
526,MGAT5
527,TMEM163
528,CCNT2-AS1
529,ZRANB3
530,R3HDM1
531,THSD7B
532,HNMT
533,AC114763.1
534,KYNU
535,GTDC1
536,ZEB2
537,ACVR2A
538,MBD5
539,LYPD6B
540,AC007364.1
541,CACNB4
542,FMNL2
543,GALNT13
544,KCNJ3
545,LINC01876
546,AC074099.1
547,NR4A2
548,GPD2
549,ACVR1C
550,ACVR1
551,UPP2
552,CCDC148
553,PKP4
554,TANC1
555,BAZ2B
556,AC009961.1
557,PLA2R1
558,RBMS1
559,TANK
560,SLC4A10
561,AC062022.2
562,DPP4
563,FAP
564,AC016766.1
565,COBLL1
566,SLC38A11
567,SCN3A
568,GALNT3
569,AC009495.3
570,AC009495.1
571,SCN9A
572,AC073050.1
573,STK39
574,CERS6
575,NOSTRIN
576,MYO3B
577,AC007405.1
578,AC007405.3
579,METTL8
580,ITGA6
581,PDK1
582,RAPGEF4
583,MAP3K20
584,OLA1
585,GPR155
586,AC010894.2
587,CHRNA1
588,CHN1
589,AC093459.1
590,HAGLR
591,AC092162.2
592,OSBPL6
593,TTN
594,CCDC141
595,SESTD1
596,UBE2E3
597,AC068196.1
598,LINC01934
599,ITGA4
600,NCKAP1
601,DUSP19
602,AC021851.2
603,ZNF804A
604,AC009315.1
605,FSIP2-AS1
606,LINC01473
607,ITGAV
608,CALCRL
609,TFPI
610,COL5A2
611,ANKAR
612,AC006460.2
613,AC006460.1
614,STAT1
615,STAT4
616,MYO1B
617,AC098617.1
618,AC010983.1
619,AC064834.1
620,SLC39A10
621,PGAP1
622,RFTN2
623,AC011997.1
624,PLCL1
625,AC019330.1
626,SATB2
627,FTCDNL1
628,SPATS2L
629,AOX1
630,FLACC1
631,FZD7
632,AC064836.3
633,BMPR2
634,FAM117B
635,ICA1L
636,NBEAL1
637,ICOS
638,AC009965.1
639,PARD3B
640,NRP2
641,ADAM23
642,MDH1B
643,AC008269.1
644,KLF7
645,AC009226.1
646,AC096772.1
647,MAP2
648,KANSL1L
649,AC006994.2
650,CPS1
651,ERBB4
652,AC093865.1
653,IKZF2
654,SPAG16
655,AC068051.1
656,BARD1
657,SNHG31
658,AC072062.1
659,AC012668.3
660,LINC00607
661,MARCH4
662,AC098820.2
663,IGFBP2
664,DIRC3
665,CXCR1
666,AC021016.3
667,AC068946.3
668,TUBA4B
669,AC053503.2
670,EPHA4
671,SGPP2
672,AP1S3
673,SERPINE2
674,IRS1
675,RHBDD1
676,COL4A3
677,AC097662.1
678,CCL20
679,FBXO36
680,SLC16A14
681,CHRND
682,AC073254.1
683,AC010148.1
684,AGAP1
685,IQCA1
686,AC012063.1
687,COL6A3
688,LINC01107
689,LINC01937
690,CROCC2
691,SNED1
692,ANO7
693,CHL1
694,AC034195.1
695,SUMF1
696,AC018816.1
697,BHLHE40-AS1
698,AC069277.1
699,AC077690.1
700,LMCD1-AS1
701,LMCD1
702,SSUH2
703,SRGAP3
704,IL17RE
705,IRAK2
706,ATP2B2
707,SLC6A1
708,ATG7
709,SYN2
710,PPARG
711,COLQ
712,BTD
713,ANKRD28
714,AC090946.1
715,OXNAD1
716,RFTN1
717,TBC1D5
718,AC104451.2
719,SATB1-AS1
720,KCNH8
721,KAT2B
722,SGO1-AS1
723,ZNF385D
724,UBE2E2
725,UBE2E1
726,LINC00691
727,THRB
728,AC092422.1
729,LINC00692
730,NEK10
731,SLC4A7
732,EOMES
733,LINC01980
734,LINC01967
735,CMC1
736,ZCWPW2
737,RBMS3
738,TGFBR2
739,GADL1
740,OSBPL10
741,CMTM8
742,CMTM6
743,TRIM71
744,LINC01811
745,ARPP21
746,STAC
747,LRRFIP2
748,ITGA9
749,CTDSPL
750,SCN11A
751,CX3CR1
752,AC104850.2
753,MOBP
754,EIF1B-AS1
755,ENTPD3-AS1
756,ULK4
757,ANO10
758,TCAIM
759,CDCP1
760,SLC6A20
761,MYL3
762,KIF9-AS1
763,FBXW12
764,RHOA-IT1
765,DOCK3
766,SFMBT1
767,IL17RB
768,CACNA2D3
769,ARHGEF3
770,DNAH12
771,HTD2
772,C3orf67
773,FHIT
774,PTPRG
775,PTPRG-AS1
776,CADPS
777,SYNPR-AS1
778,ADAMTS9
779,MAGI1
780,LRIG1
781,SUCLG2-AS1
782,TAFA1
783,FRMD4B
784,SAMMSON
785,AC097634.3
786,PROK2
787,LINC00877
788,AC104435.2
789,AC097369.2
790,CNTN3
791,LINC02018
792,ZNF717
793,ROBO1
794,AC108690.1
795,AC068756.1
796,LINC02050
797,LINC02027
798,GBE1
799,LINC00971
800,CADM2
801,AC107204.1
802,CSNKA2IP
803,EPHA3
804,ARL13B
805,ARL6
806,AC110491.2
807,AC117473.1
808,CLDND1
809,ST3GAL6
810,DCBLD2
811,CMSS1
812,AC020651.2
813,LINC02085
814,ZPLD1
815,ALCAM
816,CBLB
817,LINC00882
818,DUBR
819,AC063944.1
820,LINC00636
821,HHLA2
822,DZIP3
823,LINC00488
824,LINC01205
825,AC078980.1
826,NECTIN3-AS1
827,NECTIN3
828,CD96
829,PLCXD2
830,PHLDB2
831,CD200
832,CD200R1
833,AC078785.1
834,BOC
835,AC026329.1
836,ATP6V1A
837,GRAMD1C
838,CCDC191
839,DRD3
840,TIGIT
841,ZBTB20-AS1
842,ZBTB20-AS3
843,AC026341.1
844,AC068633.1
845,IGSF11
846,ARHGAP31
847,MAATS1
848,AC079841.2
849,FBXO40
850,IQCB1
851,EAF2
852,SLC15A2
853,PARP14
854,SLC49A4
855,SEC22A
856,KALRN
857,ITGB5-AS1
858,ROPN1B
859,AC024558.2
860,LINC01471
861,MGLL
862,GATA2
863,AC080005.1
864,PLXND1
865,TMCC1
866,TMCC1-AS1
867,AC083906.3
868,NEK11
869,EPHB1
870,PPP2R3A
871,A4GNT
872,AC046134.2
873,RBP2
874,NMNAT3
875,GRK7
876,TFDP2
877,PLS1
878,PLS1-AS1
879,TRPC1
880,PCOLCE2
881,AC026304.1
882,CHST2
883,SLC9A9
884,SLC9A9-AS1
885,DIPK2A
886,PLSCR4
887,PLSCR2
888,AC117395.1
889,AC117386.2
890,LINC01214
891,AC018545.1
892,TSC22D2
893,MED12L
894,P2RY14
895,AADACL2-AS1
896,AC108718.1
897,AC117394.2
898,AC068985.1
899,MME
900,TIPARP
901,LINC00886
902,LEKR1
903,AC092944.1
904,RSRC1
905,IQCJ-SCHIP1
906,IFT80
907,PPM1L
908,WDR49
909,GOLIM4
910,MECOM
911,SKIL
912,CLDN11
913,SLC7A14-AS1
914,TNIK
915,AC092919.1
916,PLD1
917,FNDC3B
918,NCEH1
919,ECT2
920,SPATA16
921,NLGN1
922,NAALADL2
923,LINC01208
924,LINC00578
925,KCNMB2-AS1
926,ZMAT3
927,AC076966.2
928,PIK3CA
929,AC125618.1
930,SOX2-OT
931,AC069431.1
932,MCF2L2
933,HTR3E-AS1
934,LINC02054
935,LINC01840
936,AC107294.2
937,C3orf70
938,EHHADH
939,MAP3K13
940,IGF2BP2
941,DGKG
942,LPP
943,TPRG1
944,TP63
945,IL1RAP
946,GMNC
947,OSTN-AS1
948,CCDC50
949,FGF12
950,MB21D2
951,ATP13A5
952,ATP13A4
953,GP5
954,ZDHHC19
955,TM4SF19
956,AC055764.1
957,RNF212
958,AC092535.4
959,ZFYVE28
960,RGS12
961,STX18-AS1
962,AC113615.2
963,S100P
964,AFAP1
965,AC108519.1
966,AC073648.7
967,AC105916.1
968,CLNK
969,AC006230.1
970,AC005699.1
971,AC007370.1
972,RAB28
973,AC006445.3
974,LINC01182
975,AC092546.1
976,CPEB2
977,AC098829.1
978,AC116651.1
979,CD38
980,FGFBP2
981,PROM1
982,LDB2
983,LCORL
984,AC093898.1
985,AC024230.1
986,KCNIP4
987,ADGRA3
988,AC093607.1
989,CCDC149
990,AC105290.1
991,RBPJ
992,TBC1D19
993,AC093791.1
994,AC097480.1
995,AC016687.2
996,ARAP2
997,DTHD1
998,AC022463.1
999,TBC1D1
1000,KLF3-AS1
1001,TMEM156
1002,KLHL5
1003,WDR19
1004,SMIM14
1005,RBM47
1006,AC108210.1
1007,AC024022.1
1008,ATP8A1
1009,YIPF7
1010,GABRB1
1011,ATP10D
1012,CORIN
1013,NIPAL1
1014,CNGA1
1015,TXK
1016,TEC
1017,SLC10A4
1018,SPATA18
1019,AC097522.2
1020,AC104066.3
1021,SCFD2
1022,KIT
1023,PDCL2
1024,NMU
1025,KIAA1211
1026,AC068620.2
1027,ARL9
1028,HOPX
1029,IGFBP7
1030,TECRL
1031,AC116049.2
1032,STAP1
1033,UBA6-AS1
1034,SULT1B1
1035,JCHAIN
1036,RUFY3
1037,MOB1B
1038,SLC4A4
1039,NPFFR2
1040,AC053527.2
1041,ALB
1042,EREG
1043,AREG
1044,PARM1
1045,AC110760.1
1046,AC096759.1
1047,CDKL2
1048,CXCL9
1049,CXCL10
1050,CXCL11
1051,SHROOM3
1052,MRPL1
1053,BMP2K
1054,LINC01088
1055,ANTXR2
1056,CFAP299
1057,PRKG2
1058,LINC00575
1059,SCD5
1060,GPAT3
1061,CDS1
1062,WDFY3
1063,ARHGAP24
1064,MAPK10
1065,PTPN13
1066,AFF1
1067,KLHL8
1068,HSD17B13
1069,PKD2
1070,ABCG2
1071,HERC6
1072,HERC5
1073,FAM13A
1074,GPRIN3
1075,AC093866.1
1076,SNCA
1077,MMRN1
1078,CCSER1
1079,HPGDS
1080,PDLIM5
1081,BMPR1B
1082,UNC5C
1083,STPG2
1084,TSPAN5
1085,AC019131.1
1086,AP002026.1
1087,AC097460.1
1088,PPP3CA
1089,BANK1
1090,AC098487.1
1091,NFKB1
1092,MANBA
1093,SLC9B1
1094,LINC02428
1095,CXXC4-AS1
1096,TET2
1097,TET2-AS1
1098,GSTCD
1099,AC109361.1
1100,TBCK
1101,DKK2
1102,LEF1
1103,LEF1-AS1
1104,RPL34-AS1
1105,COL25A1
1106,SEC24B-AS1
1107,ELOVL6
1108,ENPEP
1109,FAM241A
1110,ALPK1
1111,ANK2
1112,CAMK2D
1113,ARSJ
1114,UGT8
1115,NDST3
1116,SYNPO2
1117,AC073475.1
1118,PRDM5
1119,TNIP3
1120,IL2
1121,IL21-AS1
1122,SPATA5
1123,AC121154.1
1124,LINC02516
1125,ANKRD50
1126,FAT4
1127,SLC25A31
1128,LARP1B
1129,LINC02615
1130,SCLT1
1131,LINC02466
1132,AC096711.2
1133,AC093916.1
1134,AC109927.1
1135,AC097376.3
1136,MAML3
1137,SCOC-AS1
1138,TBC1D9
1139,AC096733.2
1140,IL15
1141,INPP4B
1142,AC139720.1
1143,AC104596.1
1144,GAB1
1145,AC107223.1
1146,AC098588.3
1147,HHIP
1148,ANAPC10
1149,SMAD1
1150,ZNF827
1151,AC104791.1
1152,SLC10A7
1153,AC097450.1
1154,ARHGAP10
1155,NR3C2
1156,AC002460.2
1157,AC108935.1
1158,LINC02355
1159,DCLK2
1160,AC104819.3
1161,FAM160A1
1162,AC079340.1
1163,AC079340.2
1164,AC080078.2
1165,FBXW7
1166,TRIM2
1167,MND1
1168,RNF175
1169,AC079298.3
1170,DCHS2
1171,GUCY1A1
1172,GRIA2
1173,RXFP1
1174,RAPGEF2
1175,MARCH1
1176,CPE
1177,SPOCK3
1178,AC116634.1
1179,DDX60
1180,DDX60L
1181,PALLD
1182,CBR4
1183,GALNT7
1184,HPGD
1185,GLRA3
1186,GPM6A
1187,WDR17
1188,AC097518.2
1189,AC078881.1
1190,WWC2
1191,ENPP6
1192,CCDC110
1193,FAM149A
1194,FAT1
1195,TRIML2
1196,FRG1-DT
1197,NKD2
1198,SLC6A3
1199,AC026412.3
1200,LINC02102
1201,SEMA5A
1202,CMBL
1203,ANKRD33B
1204,TRIO
1205,AC016575.1
1206,LINC02149
1207,RETREG1
1208,BASP1
1209,LINC02100
1210,AC091946.1
1211,C5orf17
1212,PURPL
1213,LINC02109
1214,PDZD2
1215,NPR3
1216,ADAMTS12
1217,AC138409.3
1218,TTC23L
1219,SPEF2
1220,AC137810.1
1221,IL7R
1222,AC008957.1
1223,LINC02119
1224,LIFR
1225,OSMR-AS1
1226,FYB1
1227,AC108105.1
1228,C7
1229,CCDC152
1230,SELENOP
1231,NIM1K
1232,AC114956.3
1233,LINC02224
1234,MRPS30-DT
1235,PARP8
1236,ITGA1
1237,ITGA2
1238,ARL15
1239,LINC01033
1240,AC016583.2
1241,ESM1
1242,AC034238.1
1243,GZMK
1244,GZMA
1245,CDC20B
1246,PLPP1
1247,SLC38A9
1248,IL31RA
1249,IL6ST
1250,ANKRD55
1251,C5orf67
1252,MAP3K1
1253,AC016642.1
1254,PDE4D
1255,AC092343.1
1256,ELOVL7
1257,ERCC8
1258,NDUFAF2
1259,ZSWIM6
1260,C5orf64
1261,CWC27
1262,ADAMTS6
1263,NLN
1264,AC092353.1
1265,MAST4
1266,AC112206.2
1267,LINC02242
1268,MARVELD2
1269,ZNF366
1270,FCHO2
1271,AC099522.2
1272,ARHGEF28
1273,FAM169A
1274,AC116337.3
1275,GCNT4
1276,ANKRD31
1277,IQGAP2
1278,CRHBP
1279,ZBED3-AS1
1280,PDE8B
1281,AC108482.1
1282,LHFPL2
1283,ARSB
1284,DMGDH
1285,HOMER1
1286,CMYA5
1287,SERINC5
1288,FAM151B
1289,MSH3
1290,RASGRF2
1291,ACOT12
1292,SSBP2
1293,ATG10
1294,ATP6AP1L
1295,XRCC4
1296,LINC02059
1297,AC109492.1
1298,CCNH
1299,AC018754.1
1300,MEF2C
1301,MEF2C-AS1
1302,LINC02161
1303,LUCAT1
1304,AC123595.2
1305,ARRDC3
1306,ARRDC3-AS1
1307,AC093298.2
1308,FAM172A
1309,AC117528.1
1310,KIAA0825
1311,SLF1
1312,MCTP1
1313,ARSK
1314,SPATA9
1315,RHOBTB3
1316,ELL2
1317,AC104123.1
1318,AC008592.2
1319,LIX1-AS1
1320,LINC01340
1321,LINC02234
1322,RGMB-AS1
1323,AC021086.1
1324,ST8SIA4
1325,SLCO4C1
1326,LINC00491
1327,PAM
1328,LINC01950
1329,EFNA5
1330,FBXL17
1331,LINC01023
1332,FER
1333,AC008871.1
1334,MAN2A1
1335,TMEM232
1336,CAMK4
1337,STARD4-AS1
1338,EPB41L4A
1339,MCC
1340,CCDC112
1341,LVRN
1342,AC034236.3
1343,COMMD10
1344,SEMA6A-AS1
1345,AC114311.1
1346,DTWD2
1347,AC008629.1
1348,PRR16
1349,SNX24
1350,CSNK1G3
1351,LINC02240
1352,AC116362.1
1353,GRAMD2B
1354,ALDH7A1
1355,MARCH3
1356,AC011416.3
1357,AC011416.4
1358,LINC01184
1359,SLC12A2
1360,CHSY3
1361,RAPGEF6
1362,MEIKIN
1363,AC034228.3
1364,IL3
1365,CSF2
1366,IL5
1367,IL13
1368,FSTL4
1369,AC008608.2
1370,TCF7
1371,AC005355.1
1372,CATSPER3
1373,SLC25A48
1374,IL9
1375,TRPC7
1376,AC106791.1
1377,EGR1
1378,MZB1
1379,HBEGF
1380,AC008438.1
1381,DND1
1382,PCDHB2
1383,PCDHGB2
1384,AC005740.4
1385,ARHGAP26
1386,ARHGAP26-AS1
1387,NR3C1
1388,KCTD16
1389,PRELID2
1390,AC011396.2
1391,AC008728.1
1392,PPP2R2B
1393,JAKMIP2
1394,AC011370.1
1395,AC011346.1
1396,SH3TC2
1397,ABLIM3
1398,CD74
1399,IRGM
1400,LINC01933
1401,GALNT10
1402,SGCD
1403,AC025434.1
1404,HAVCR2
1405,ITK
1406,ADAM19
1407,SOX30
1408,C5orf52
1409,LINC02227
1410,EBF1
1411,AC008691.1
1412,ADRA1B
1413,GABRB2
1414,AC113414.1
1415,TENM2
1416,LCP2
1417,RANBP17
1418,UBTD2
1419,SH3PXD2B
1420,CPEB4
1421,C5orf47
1422,NSG2
1423,HRH2
1424,AC138965.1
1425,AC139491.8
1426,GMCL2
1427,RNF130
1428,AC010285.3
1429,GFPT2
1430,BTNL3
1431,AC008443.4
1432,AC008443.3
1433,IRF4
1434,AL512308.1
1435,GMDS
1436,GMDS-DT
1437,LINC01600
1438,SLC22A23
1439,AL033523.1
1440,LYRM4
1441,LY86-AS1
1442,LY86
1443,BMP6
1444,HULC
1445,GCNT2
1446,AL358777.1
1447,AL024498.1
1448,SYCP2L
1449,NEDD9
1450,TMEM170B
1451,HIVEP1
1452,GFOD1
1453,CD83
1454,AL138720.1
1455,JARID2
1456,DTNBP1
1457,ATXN1
1458,AL136305.1
1459,RBM24
1460,KIF13A
1461,NHLRC1
1462,RNF144B
1463,MIR548A1HG
1464,MBOAT1
1465,AL158198.1
1466,AL132775.1
1467,AL512380.2
1468,SOX4
1469,CASC15
1470,NBAT1
1471,DCDC2
1472,KIAA0319
1473,CARMIL1
1474,SLC17A1
1475,SLC17A3
1476,HIST1H4A
1477,HIST1H4F
1478,AL513548.4
1479,LINC00240
1480,HIST1H2AI
1481,HIST1H3J
1482,NKAPL
1483,ZNF311
1484,OR14J1
1485,OR5V1
1486,HCG20
1487,LTA
1488,LTB
1489,HSPA1A
1490,HSPA1B
1491,C4B
1492,AL662884.3
1493,TSBP1-AS1
1494,HLA-DRA
1495,HLA-DRB1
1496,HLA-DQA1
1497,HLA-DQB1
1498,HLA-DPA1
1499,GRM4
1500,PACSIN1
1501,FKBP5
1502,AL033519.5
1503,ARMC12
1504,CLPSL1
1505,Z84485.1
1506,MDGA1
1507,BTBD9
1508,DNAH8
1509,KIF6
1510,DAAM2
1511,TDRG1
1512,LINC00951
1513,AL139275.1
1514,LRFN2
1515,AL031778.1
1516,LINC01276
1517,USP49
1518,AL512274.1
1519,TRERF1
1520,CRIP3
1521,CAPN11
1522,HSP90AB1
1523,SUPT3H
1524,RUNX2
1525,CLIC5
1526,RCAN2
1527,TDRD6
1528,AL451166.1
1529,ADGRF2
1530,GLYATL3
1531,GSTA4
1532,AL033397.2
1533,KLHL31
1534,AL590652.1
1535,LRRC1
1536,DST
1537,PRIM2
1538,AL445250.1
