,gene_ids
1592,CEP57L1
1593,AL109947.1
1594,AK9
1595,WASF1
1596,METTL24
1597,CDK19
1598,SLC16A10
1599,REV3L
1600,TRAF3IP2-AS1
1601,FYN
1602,MARCKS
1603,LINC01268
1604,FRK
1605,NT5DC1
1606,DSE
1607,SLC35F1
1608,MCM9
1609,AL137009.1
1610,FAM184A
1611,MAN1A1
1612,AL096854.1
1613,TBC1D32
1614,PKIB
1615,NKAIN2
1616,TPD52L1
1617,TRMT11
1618,THEMIS
1619,PTPRK
1620,AL590006.1
1621,AL356124.1
1622,ARHGAP18
1623,TMEM244
1624,SAMD3
1625,TMEM200A
1626,EPB41L2
1627,AKAP7
1628,ENPP3
1629,ENPP1
1630,AL133346.1
1631,LINC01013
1632,STX7
1633,AL032821.1
1634,LINC00326
1635,AL078590.2
1636,MYB
1637,AHI1
1638,AL049552.2
1639,LINC00271
1640,PDE7B
1641,AL360178.1
1642,MAP7
1643,MAP3K5
1644,PEX7
1645,IL20RA
1646,WAKMAR2
1647,TNFAIP3
1648,LINC02528
1649,NHSL1
1650,AL592429.2
1651,FILNC1
1652,NMBR
1653,ADGRG6
1654,HIVEP2
1655,LINC01277
1656,AIG1
1657,PHACTR2
1658,PLAGL1
1659,UTRN
1660,EPM2A
1661,AL356599.1
1662,GRM1
1663,STXBP5-AS1
1664,STXBP5
1665,UST
1666,AL358852.1
1667,LRP11
1668,PPP1R14C
1669,PLEKHG1
1670,AKAP12
1671,CCDC170
1672,ESR1
1673,SYNE1
1674,RGS17
1675,IPCEF1
1676,AL589693.1
1677,ZDHHC14
1678,SNX9
1679,AL391863.1
1680,SYTL3
1681,RSPH3
1682,AL035530.2
1683,AL356417.3
1684,AL078604.4
1685,AGPAT4
1686,PRKN
1687,PACRG
1688,RPS6KA2
1689,Z94721.1
1690,AL121935.1
1691,TCP10L2
1692,AFDN
1693,WDR27
1694,LINC00574
1695,AL008628.1
1696,AC073957.2
1697,SNX8
1698,AC024028.1
1699,SDK1
1700,AC092171.3
1701,ACTB
1702,CYTH3
1703,FAM220A
1704,AC079804.3
1705,COL28A1
1706,AC004982.2
1707,UMAD1
1708,GLCCI1
1709,ICA1
1710,AC006042.1
1711,NXPH1
1712,AC004949.1
1713,PHF14
1714,AC004160.1
1715,AC011287.1
1716,CRPPA
1717,AHR
1718,AC073332.1
1719,AC019117.1
1720,HDAC9
1721,AC005062.1
1722,MACC1
1723,AC005083.1
1724,RAPGEF5
1725,STEAP1B
1726,FAM126A
1727,KLHL7
1728,AC005082.2
1729,GPNMB
1730,STK31
1731,AC003044.1
1732,MPP6
1733,OSBPL3
1734,AC005100.1
1735,SNX10
1736,AC004540.2
1737,SKAP2
1738,HOXA9
1739,AC004009.1
1740,HIBADH
1741,JAZF1
1742,AC007255.1
1743,PLEKHA8
1744,ZNRF2
1745,BBS9
1746,AC008080.4
1747,BMPER
1748,AC005400.1
1749,TBX20
1750,EEPD1
1751,ANLN
1752,AOAH
1753,AOAH-IT1
1754,EPDR1
1755,NME8
1756,TRGC2
1757,TRGC1
1758,POU6F2-AS2
1759,AC011290.1
1760,RALA
1761,SUGCT
1762,LINC01449
1763,INHBA
1764,AC005537.1
1765,TNS3
1766,PKD1L1
1767,SUN3
1768,ABCA13
1769,ZPBP
1770,AC020743.1
1771,GRB10
1772,COBL
1773,LINC01445
1774,AC074351.1
1775,VOPP1
1776,ZNF713
1777,AC092634.8
1778,AC115220.1
1779,VKORC1L1
1780,TPST1
1781,LINC00174
1782,AUTS2
1783,CALN1
1784,FKBP6
1785,METTL27
1786,HIP1
1787,CCL24
1788,CCDC146
1789,PTPN12
1790,PHTF2
1791,MAGI2
1792,GNAI1
1793,SEMA3C
1794,SEMA3A
1795,AC074183.1
1796,SEMA3D
1797,AC005009.2
1798,KIAA1324L
1799,AC005076.1
1800,ABCB4
1801,ABCB1
1802,RUNDC3B
1803,ADAM22
1804,AC003991.1
1805,ZNF804B
1806,AC004969.1
1807,CFAP69
1808,CDK14
1809,AC079760.1
1810,LRRD1
1811,ANKIB1
1812,CDK6
1813,AC002454.1
1814,VPS50
1815,GNGT1
1816,TFPI2
1817,PEG10
1818,PPP1R9A
1819,ASB4
1820,SLC25A13
1821,AC004522.3
1822,NYAP1
1823,ACHE
1824,AC254629.1
1825,SERPINE1
1826,NAT16
1827,COL26A1
1828,FAM185A
1829,FBXL13
1830,SRPK2
1831,PUS7
1832,EFCAB10
1833,ATXN7L1
1834,CDHR3
1835,NAMPT
1836,AC005050.3
1837,AC006387.1
1838,LAMB4
1839,NRCAM
1840,AC073114.1
1841,IMMP2L
1842,LRRN3
1843,DOCK4
1844,ZNF277
1845,BMT2
1846,PPP1R3A
1847,FOXP2
1848,MDFIC
1849,LINC01393
1850,LINC01392
1851,TFEC
1852,AC002066.1
1853,CTTNBP2
1854,ANKRD7
1855,AASS
1856,AC015983.2
1857,IQUB
1858,AC006148.1
1859,POT1
1860,POT1-AS1
1861,AC073934.1
1862,OPN1SW
1863,AHCYL2
1864,STRIP2
1865,KLHDC10
1866,CPA5
1867,COPG2
1868,AC016831.7
1869,PLXNA4
1870,EXOC4
1871,AC009275.1
1872,CALD1
1873,AC083870.1
1874,AGBL3
1875,AC091736.1
1876,AC078845.1
1877,KIAA1549
1878,TTC26
1879,AC083880.1
1880,TBXAS1
1881,KDM7A
1882,AC006452.1
1883,TMEM178B
1884,AC073878.1
1885,MGAM
1886,TRBV3-1
1887,TRBV14
1888,TRBV23-1
1889,TRBV24-1
1890,TRBVB
1891,TRBV28
1892,TRBJ1-5
1893,TRBC1
1894,CLCN1
1895,EPHA1-AS1
1896,TPK1
1897,AC006974.1
1898,EZH2
1899,LINC00996
1900,TMEM176B
1901,LINC01003
1902,AC006372.3
1903,AC136777.1
1904,AC246817.2
1905,AC246817.1
1906,MCPH1
1907,AC018398.1
1908,AF233439.1
1909,PRAG1
1910,AC103957.1
1911,MFHAS1
1912,AC034111.2
1913,MSRA
1914,XKR6
1915,BLK
1916,AC068587.4
1917,AC130352.1
1918,DLC1
1919,MSR1
1920,AC011586.1
1921,MICU3
1922,PDGFRL
1923,PSD3
1924,AC100849.1
1925,CSGALNACT1
1926,LPL
1927,LZTS1-AS1
1928,PIWIL2
1929,EGR3
1930,AC090197.1
1931,ADAM28
1932,AC120193.1
1933,NEFM
1934,DOCK5
1935,CDCA2
1936,STMN4
1937,CHRNA2
1938,SCARA5
1939,AC021678.2
1940,FZD3
1941,INTS9-AS1
1942,DUSP4
1943,AC102945.1
1944,PURG
1945,WRN
1946,AC009563.1
1947,AC090204.1
1948,FUT10
1949,AC090993.1
1950,AC137579.1
1951,AC138356.1
1952,RAB11FIP1
1953,FGFR1
1954,ADAM9
1955,ADAM32
1956,ADAM18
1957,IDO2
1958,AC105999.1
1959,ZMAT4
1960,AC083973.1
1961,SPIDR
1962,CEBPD
1963,AC021236.1
1964,PXDNL
1965,LYN
1966,PLAG1
1967,AC012349.1
1968,FAM110B
1969,TOX
1970,CA8
1971,LINC01301
1972,CHD7
1973,AC113143.3
1974,CLVS1
1975,ASPH
1976,LINC02842
1977,NKAIN3
1978,CYP7B1
1979,PDE7A
1980,AC009879.4
1981,MYBL1
1982,MCMDC2
1983,CPA6
1984,PREX2
1985,SLCO5A1
1986,AC120194.1
1987,XKR9
1988,MSC-AS1
1989,AC078906.1
1990,SBSPON
1991,C8orf89
1992,STAU2
1993,AC022868.2
1994,AC087672.2
1995,AC087627.1
1996,JPH1
1997,GDAP1
1998,MIR2052HG
1999,AC011632.1
2000,CASC9
2001,HNF4G
2002,PKIA-AS1
2003,PKIA
2004,ZC2HC1A
2005,IL7
2006,AC083837.1
2007,AC036214.1
2008,MRPS28
2009,TPD52
2010,ZNF704
2011,AC012533.1
2012,PAG1
2013,AC060765.1
2014,CA3
2015,AC084734.1
2016,SLC7A13
2017,AF117829.1
2018,RIPK2
2019,LINC00534
2020,PIP4P2
2021,LRRC69
2022,SLC26A7
2023,LINC00535
2024,TMEM67
2025,CDH17
2026,GEM
2027,RAD54B
2028,C8orf37-AS1
2029,AC012339.1
2030,CPQ
2031,ERICH5
2032,NIPAL2
2033,STK3
2034,AC107909.2
2035,FBXO43
2036,RNF19A
2037,SNX31
2038,NCALD
2039,AZIN1-AS1
2040,AP003354.1
2041,BAALC
2042,BAALC-AS1
2043,RIMS2
2044,LRP12
2045,OXR1
2046,AC090579.1
2047,ANGPT1
2048,TMEM74
2049,AC104248.1
2050,PKHD1L1
2051,LINC01608
2052,TRPS1
2053,RAD21-AS1
2054,AARD
2055,EXT1
2056,SAMD12
2057,SAMD12-AS1
2058,ENPP2
2059,AP005717.1
2060,DEPTOR
2061,SNTB1
2062,AC068413.1
2063,HAS2
2064,FER1L6
2065,FER1L6-AS2
2066,AC090921.1
2067,TMEM65
2068,LINC00964
2069,NSMCE2
2070,AC016074.2
2071,LINC00861
2072,PCAT1
2073,AC104370.1
2074,AC108925.1
2075,PVT1
2076,LINC00824
2077,ASAP1
2078,AC009682.1
2079,KCNQ3
2080,HPYR1
2081,LRRC6
2082,AC083843.1
2083,AC105213.1
2084,PTK2
2085,ADGRB1
2086,LYNX1
2087,GML
2088,LY6E-DT
2089,AC138696.2
2090,AC067930.1
2091,IQANK1
2092,ZNF16
2093,AF235103.1
2094,KANK1
2095,VLDLR-AS1
2096,RFX3
2097,RFX3-AS1
2098,GLIS3
2099,SPATA6L
2100,JAK2
2101,PLGRKT
2102,AL162253.2
2103,GLDC
2104,PTPRD
2105,ZDHHC21
2106,FREM1
2107,CCDC171
2108,BNC2
2109,SAXO1
2110,AL161909.2
2111,ACER2
2112,MLLT3
2113,FOCAD
2114,MIR31HG
2115,CDKN2B-AS1
2116,IFT74
2117,MOB3B
2118,LINGO2
2119,LINC01242
2120,C9orf24
2121,DNAJB5-DT
2122,UNC13B
2123,RUSC2
2124,PAX5
2125,ZCCHC7
2126,DCAF10
2127,FAM201A
2128,ANKRD20A1
2129,PIP5K1B
2130,TJP2
2131,APBA1
2132,C9orf135
2133,MAMDC2-AS1
2134,SMC5-AS1
2135,TRPM3
2136,CEMIP2
2137,C9orf85
2138,TMC1
2139,ANXA1
2140,RORB
2141,TRPM6
2142,PCSK5
2143,GCNT1
2144,GNAQ
2145,TLE4
2146,TLE1
2147,AL591368.1
2148,RASEF
2149,FRMD3
2150,GKAP1
2151,KIF27
2152,NTRK2
2153,AGTPBP1
2154,C9orf153
2155,LINC02834
2156,SHC3
2157,AL353150.1
2158,LINC01508
2159,SYK
2160,ROR2
2161,CENPP
2162,WNK2
2163,NUTM2F
2164,AL157936.1
2165,AOPEP
2166,AL807757.2
2167,FANCC
2168,LINC00476
2169,CDC14B
2170,AL512590.3
2171,COL15A1
2172,STX17-AS1
2173,NR4A3
2174,INVS
2175,LINC01492
2176,ABCA1
2177,SLC44A1
2178,LINC01505
2179,ZNF462
2180,AL807761.4
2181,CTNNAL1
2182,PALM2-AKAP2
2183,LPAR1
2184,HSDL2
2185,KIAA1958
2186,SLC46A2
2187,WDR31
2188,ZNF618
2189,WHRN
2190,TEX53
2191,DEC1
2192,TNFSF8
2193,ASTN2
2194,AL157829.1
2195,MEGF9
2196,C5
2197,AL359644.1
2198,AL359636.2
2199,STRBP
2200,CRB2
2201,DENND1A
2202,NR6A1
2203,MIR181A2HG
2204,SCAI
2205,PBX3
2206,MVB12B
2207,AL360268.1
2208,IER5L
2209,AL158151.1
2210,AL161785.3
2211,AL161785.1
2212,ABL1
2213,LAMC3
2214,AL157938.4
2215,CFAP77
2216,AL445645.1
2217,C9orf116
2218,LCN12
2219,PTGDS
2220,STPG3-AS1
2221,CACNA1B
2222,DIP2C
2223,AL669841.1
2224,AL450322.2
2225,KLF6
2226,AC025822.2
2227,AKR1C4
2228,AL732437.2
2229,IL2RA
2230,AL157395.1
2231,LINC02649
2232,LINP1
2233,LINC00707
2234,SFMBT2
2235,TAF3
2236,AC025946.1
2237,USP6NL
2238,CAMK1D
2239,AL353586.1
2240,CCDC3
2241,BEND7
2242,FRMD4A
2243,AL157896.1
2244,FAM171A1
2245,RSU1
2246,CUBN
2247,VIM
2248,ST8SIA6
2249,PLXDC2
2250,NEBL
2251,DNAJC1
2252,AL359697.1
2253,AL356113.1
2254,ARHGAP21
2255,ANKRD26
2256,ARMC4
2257,MPP7
2258,MPP7-DT
2259,SVIL
2260,JCAD
2261,MAP3K8
2262,ZNF438
2263,AL359532.1
2264,ZEB1-AS1
2265,ZEB1
2266,CCDC7
2267,ITGB1
2268,IATPR
2269,PARD3
2270,CREM
2271,ANKRD30A
2272,LINC01518
2273,AC068707.1
2274,AL450326.3
2275,ZNF32-AS3
2276,ZNF32-AS1
2277,AL353801.3
2278,ALOX5
2279,MAPK8
2280,WDFY4
2281,AL589794.2
2282,PRKG1
2283,LNCAROD
2284,BICC1
2285,SLC16A9
2286,ANK3
2287,LINC02625
2288,ARID5B
2289,RTKN2
2290,ZNF365
2291,AC067751.1
2292,REEP3
2293,AC013287.1
2294,LINC01515
2295,CTNNA3
2296,PBLD
2297,TET1
2298,SRGN
2299,PRF1
2300,MICU1
2301,MCU
2302,PLA2G12B
2303,CFAP70
2304,USP54
2305,ADK
2306,KAT6B
2307,ZNF503-AS1
2308,LRMDA
2309,NUTM2E
2310,TMEM254-AS1
2311,CDHR1
2312,LINC00858
2313,LDB3
2314,BMPR1A
2315,MMRN2
2316,ADIRF
2317,RNLS
2318,STAMBPL1
2319,IFIT3
2320,IFIT1
2321,SLC16A12
2322,LINC01374
2323,HTR7
2324,HECTD2
2325,CPEB3
2326,KIF11
2327,EXOC6
2328,MYOF
2329,CEP55
2330,SLC35G1
2331,SORBS1
2332,ENTPD1
2333,CC2D2B
2334,BLNK
2335,AL136181.1
2336,DNTT
2337,PIK3AP1
2338,AL355490.1
2339,SFRP5
2340,AL133353.1
2341,CPN1
2342,AL139819.1
2343,PDZD7
2344,BTRC
2345,CYP17A1
2346,CNNM2
2347,SH3PXD2A-AS1
2348,COL17A1
2349,GSTO2
2350,SORCS3
2351,SORCS1
2352,LINC01435
2353,LINC02661
2354,MXI1
2355,RBM20
2356,PDCD4
2357,AL136119.1
2358,VTI1A
2359,TCF7L2
2360,HABP2
2361,ADRB1
2362,AC022023.2
2363,ABLIM1
2364,ATRNL1
2365,PNLIP
2366,CASC2
2367,INPP5F
2368,AC023282.1
2369,WDR11-AS1
2370,FGFR2
2371,HTRA1
2372,LINC02641
2373,AL513190.1
2374,CTBP2
2375,TEX36
2376,AL158835.2
2377,DHX32
2378,ADAM12
2379,C10orf90
2380,DOCK1
2381,LINC01163
2382,MGMT
2383,TCERG1L
2384,SCART1
2385,AC069287.2
2386,AC136475.8
2387,MIR210HG
2388,KCNQ1OT1
2389,AC127526.2
2390,MMP26
2391,HBD
2392,AC104389.5
2393,OR51I2
2394,TRIM6
2395,AC022762.1
2396,CNGA4
2397,HPX
2398,AC087280.2
2399,ZNF215
2400,ZNF214
2401,NLRP14
2402,OLFML1
2403,STK33
2404,ST5
2405,AC079296.1
2406,SWAP70
2407,LINC02709
2408,SBF2
2409,AC069360.1
2410,GALNT18
2411,DKK3
2412,MICAL2
2413,PARVA
2414,TEAD1
2415,BTBD10
2416,AC021269.3
2417,PTH
2418,SPON1
2419,RRAS2
2420,PSMA1
2421,PDE3B
2422,CALCB
2423,INSC
2424,SOX6
2425,PLEKHA7
2426,LDHC
2427,UEVLD
2428,TMEM86A
2429,NAV2
2430,ANO5
2431,GAS2
2432,AC006299.1
2433,LINC02718
2434,ANO3
2435,BBOX1-AS1
2436,LGR4
2437,BDNF-AS
2438,AC103796.1
2439,KIF18A
2440,METTL15
2441,AC013714.1
2442,MPPED2
2443,DCDC1
2444,IMMP1L
2445,ELP4
2446,PAX6
2447,PAUPAR
2448,AL035078.1
2449,CSTF3-DT
2450,AC090469.1
2451,ABTB2
2452,AL356215.1
2453,FJX1
2454,LDLRAD3
2455,PRR5L
2456,C11orf74
2457,LRRC4C
2458,AC087276.1
2459,TSPAN18-AS1
2460,TSPAN18
2461,AC044839.1
2462,PHF21A
2463,MDK
2464,C11orf49
2465,PTPRJ
2466,PTPRJ-AS1
2467,P2RX3
2468,PRG2
2469,OR9Q1
2470,OR5B2
2471,OR5B21
2472,GLYATL1
2473,AP001636.3
2474,LINC02739
2475,MS4A6A
2476,MS4A5
2477,MS4A1
2478,PTGDR2
2479,AP003721.4
2480,ASRGL1
2481,SCGB1A1
2482,AHNAK
2483,GNG3
2484,SLC22A24
2485,PLAAT5
2486,RTN3
2487,AP000944.6
2488,CDC42EP2
2489,NEAT1
2490,CTSW
2491,PACS1
2492,CNIH2
2493,AP001107.6
2494,TBX10
2495,AP003071.2
2496,CTTN
2497,FCHSD2
2498,AP000763.4
2499,FAM168A
2500,PGM2L1
2501,AP001972.3
2502,ACER3
2503,GDPD4
2504,PAK1
2505,AP002812.2
2506,GAB2
2507,NARS2
2508,MIR4300HG
2509,AP000893.2
2510,RAB30
2511,AP000446.1
2512,DLG2
2513,AP001825.1
2514,SYTL2
2515,CCDC83
2516,ME3
2517,AP003059.2
2518,PRSS23
2519,AP001528.1
2520,FZD4-DT
2521,TMEM135
2522,AP000676.5
2523,GRM5
2524,DISC1FP1
2525,PIWIL4
2526,AP002383.2
2527,KDM4D
2528,SESN3
2529,AP001790.1
2530,MAML2
2531,AP003066.1
2532,ARHGAP42
2533,TRPC6
2534,CEP126
2535,BIRC3
2536,DYNC2H1
2537,AP002989.1
2538,PDGFD
2539,LINC02552
2540,GUCY1A2
2541,EXPH5
2542,DDX10
2543,ZC3H12C
2544,LINC02732
2545,ARHGAP20
2546,COLCA2
2547,POU2AF1
2548,SIK2
2549,HSPB2
2550,BCO2
2551,LINC02762
2552,LINC02763
2553,NCAM1
2554,AP000880.1
2555,ZBTB16
2556,AP002518.1
2557,CADM1
2558,AP000462.1
2559,APOA1
2560,DSCAML1
2561,TMPRSS4
2562,JAML
2563,AP002954.2
2564,AP004609.3
2565,AP003392.3
2566,NECTIN1-AS1
2567,ARHGEF12
2568,GRIK4
2569,AP001977.1
2570,MIR100HG
2571,UBASH3B
2572,CRTAM
2573,GRAMD1B
2574,SPA17
2575,ROBO4
2576,PKNOX2
2577,CDON
2578,AP001893.1
2579,LINC02725
2580,ARHGAP32
2581,TMEM45B
2582,ZBTB44-DT
2583,LINC02731
2584,JAM3
2585,GLB1L3
2586,SLC6A12
2587,B4GALNT3
2588,AC004765.1
2589,DCP1B
2590,LINC02371
2591,TEAD4
2592,TSPAN9
2593,CCND2
2594,FGF6
2595,GAPDH
2596,AC018653.3
2597,AC018653.1
2598,FAM90A1
2599,LINC00937
2600,KLRG1
2601,A2M-AS1
2602,KLRB1
2603,CLECL1
2604,CD69
2605,KLRF1
2606,KLRD1
2607,KLRK1
2608,KLRC3
2609,KLRC2
2610,KLRC1
2611,LINC02446
2612,STYK1
2613,PRH1
2614,AC244131.2
2615,PRB1
2616,LINC01252
2617,ETV6
2618,BCL2L14
2619,LRP6
2620,DUSP16
2621,GPR19
2622,AC008115.2
2623,APOLD1
2624,GPRC5A
2625,GPRC5D-AS1
2626,AC092112.1
2627,PLBD1-AS1
2628,AC007655.2
2629,ART4
2630,RERG
2631,EPS8
2632,DERA
2633,AC048352.1
2634,PIK3C2G
2635,PLEKHA5
2636,AC024901.1
2637,LINC02398
2638,SLCO1A2
2639,AC010197.1
2640,ABCC9
2641,ST8SIA1
2642,AC087241.2
2643,AC084816.1
2644,SOX5
2645,BCAT1
2646,AC023796.2
2647,LRMP
2648,RASSF8
2649,STK38L
2650,ARNTL2
2651,ARNTL2-AS1
2652,PPFIBP1
2653,AC009509.1
2654,REP15
2655,AC009511.2
2656,AC008011.2
2657,CCDC91
2658,FAR2
2659,AC009318.1
2660,OVCH1
2661,AC010198.1
2662,AC024940.1
2663,DENND5B
2664,DENND5B-AS1
2665,AC068774.1
2666,AMN1
2667,BICD1
2668,FGD4
2669,PKP2
2670,CPNE8
2671,KIF21A
2672,ABCD2
2673,C12orf40
2674,SLC2A13
2675,LRRK2
2676,AC090630.1
2677,AC006197.2
2678,YAF2
2679,ADAMTS20
2680,TMEM117
2681,NELL2
2682,ANO6
2683,AC008014.1
2684,PCED1B
2685,AC004801.3
2686,AC024257.1
2687,AC090115.1
2688,DHH
2689,SPATS2
2690,GPD1
2691,FAM186A
2692,SLC4A8
2693,SCN8A
2694,NR4A1
2695,AC025259.1
2696,SMIM41
2697,KRT1
2698,TNS2
2699,IGFBP6
2700,AC024884.2
2701,RBMS2
2702,HSD17B6
2703,AGAP2-AS1
2704,AC083805.2
2705,SLC16A7
2706,AC090629.1
2707,TAFA2
2708,RXYLT1-AS1
2709,SRGAP1
2710,AC020611.2
2711,AC025576.1
2712,RASSF3
2713,AC025262.1
2714,LINC02389
2715,MSRB3
2716,HMGA2
2717,GRIP1
2718,LINC01479
2719,IFNG-AS1
2720,IFNG
2721,IL26
2722,IL22
2723,LINC02384
2724,CPM
2725,AC025263.1
2726,MYRFL
2727,AC025159.1
2728,KCNMB4
2729,AC025569.1
2730,PTPRR
2731,TSPAN8
2732,TPH2
2733,CAPS2
2734,GLIPR1L2
2735,AC078923.1
2736,OSBPL8
2737,SYT1
2738,PAWR
2739,PTPRQ
2740,LIN7A
2741,PPFIA2
2742,METTL25
2743,TMTC2
2744,CEP290
2745,TMTC3
2746,LINC02458
2747,ATP2B1
2748,AC009522.1
2749,AC112481.2
2750,LINC01619
2751,AC025164.1
2752,LINC02391
2753,LINC02397
2754,EEA1
2755,AC124947.1
2756,CRADD
2757,TMCC3
2758,USP44
2759,NTN4
2760,AMDHD1
2761,CFAP54
2762,AC007656.2
2763,AC016152.1
2764,IKBIP
2765,ANKS1B
2766,SLC17A8
2767,ANO4
2768,CHPT1
2769,GNPTAB
2770,DRAM1
2771,PARPBP
2772,PMCH
2773,HELLPAR
2774,LINC02456
2775,IGF1
2776,AC068643.1
2777,C12orf42
2778,AC089983.1
2779,CHST11
2780,SLC41A2
2781,AC011313.1
2782,NUAK1
2783,CRY1
2784,BTBD11
2785,FAM222A
2786,FAM222A-AS1
2787,IFT81
2788,HVCN1
2789,CCDC63
2790,CUX2
2791,AC089999.1
2792,LINC02463
2793,AC012157.2
2794,AC125603.2
2795,KSR2
2796,SRRM4
2797,CCDC60
2798,AC002070.1
2799,BICDL1
2800,CABP1
2801,AC069234.2
2802,OASL
2803,AC048337.1
2804,LRRC43
2805,AC068768.1
2806,AC073592.1
2807,AC007368.1
2808,LINC00944
2809,AC079949.6
2810,LINC02414
2811,AC137590.2
2812,AC127070.1
2813,ZNF10
2814,TPTE2
2815,IFT88
2816,AL161772.1
2817,EEF1AKMT1
2818,AL136962.1
2819,MIPEP
2820,RNF17
2821,AMER2
2822,SHISA2
2823,CDK8
2824,USP12-AS2
2825,FLT1
2826,LINC00544
2827,KATNAL1
2828,TEX26-AS1
2829,FRY
2830,BRCA2
2831,STARD13
2832,RFC3
2833,NBEA
2834,SOHLH2
2835,CCDC169
2836,LINC00571
2837,STOML3
2838,LHFPL6
2839,COG6
2840,LINC00598
2841,LINC00332
2842,FOXO1
2843,AL354696.2
2844,VWA8
2845,DGKH
2846,LINC02341
2847,EPSTI1
2848,ENOX1
2849,SMIM2-AS1
2850,TSC22D1
2851,SIAH3
2852,CPB2
2853,LRRC63
2854,LINC00563
2855,RUBCNL
2856,AL359880.1
2857,SUCLA2-AS1
2858,RB1
2859,CAB39L
2860,DLEU2
2861,DLEU1
2862,RNASEH2B-AS1
2863,INTS6
2864,WDFY2
2865,AL356295.1
2866,DIAPH3
2867,TDRD3
2868,LINC00378
2869,LINC00355
2870,PCDH9
2871,DACH1
2872,PIBF1
2873,KLF12
2874,LINC00402
2875,AL353660.1
2876,LINC00381
2877,NDFIP2
2878,SPRY2
2879,AL162493.1
2880,MIR4500HG
2881,SLITRK5
2882,GPC5
2883,GPC6
2884,DCT
2885,SOX21-AS1
2886,AL139381.1
2887,ABCC4
2888,DNAJC3-DT
2889,UGGT2
2890,SLC15A1
2891,CLYBL
2892,PCCA
2893,NALCN-AS1
2894,NALCN
2895,FGF14
2896,CCDC168
2897,AL139379.1
2898,TNFSF13B
2899,AL138694.1
2900,MYO16
2901,AL163541.1
2902,LINC00354
2903,GRTP1-AS1
2904,LINC00452
2905,OR11G2
2906,OR4E2
2907,TRAV8-5
2908,TRAV27
2909,AC244502.1
2910,TRAV34
2911,TRDC
2912,TRAJ55
2913,TRAJ50
2914,TRAJ44
2915,TRAJ28
2916,TRAJ26
2917,TRAJ16
2918,TRAJ8
2919,TRAJ7
2920,TRAJ3
2921,LINC02332
2922,RNF212B
2923,TSSK4
2924,LTB4R2
2925,GZMH
2926,GZMB
2927,NOVA1
2928,LINC02327
2929,LINC02326
2930,AL135878.1
2931,PRKD1
2932,STRN3
2933,NUBPL
2934,AKAP6
2935,NPAS3
2936,EGLN3
2937,PRORP
2938,AL162311.1
2939,AL133304.3
2940,LINC00609
2941,AL132857.1
2942,SLC25A21
2943,AL049828.1
2944,AL049828.2
2945,LINC02315
2946,LRFN5
2947,AL049870.3
2948,TOGARAM1
2949,FANCM
2950,LINC00648
2951,AL358335.2
2952,AL139099.1
2953,AL591767.1
2954,L2HGDH
2955,ATL1
2956,TRIM9
2957,LINC00519
2958,FRMD6
2959,GNG2
2960,NID2
2961,PTGDR
2962,TXNDC16
2963,GPR137C
2964,AL139317.5
2965,AL139317.1
2966,FERMT2
2967,AL365295.1
2968,SAMD4A
2969,WDHD1
2970,FBXO34
2971,KTN1-AS1
2972,PELI2
2973,LINC02284
2974,AL391152.1
2975,SLC35F4
2976,AL161804.1
2977,KIAA0586
2978,LINC01500
2979,DAAM1
2980,CCDC175
2981,RTN1
2982,LRRC9
2983,AL157911.1
2984,PCNX4
2985,MNAT1
2986,AL359220.1
2987,LINC01303
2988,AL355916.1
2989,HIF1A
2990,SYT16
2991,SGPP1
2992,PPP1R36
2993,AL049869.2
2994,FUT8
2995,AL359232.1
2996,GPHN
2997,RAD51B
2998,ZFP36L1
2999,GALNT16
3000,SMOC1
3001,SLC8A3
3002,AL356804.1
3003,AL357153.2
3004,AC004817.3
3005,AC004817.5
3006,SIPA1L1
3007,DPF3
3008,AL442663.3
3009,LIN52
3010,VSX2
3011,LTBP2
3012,FOS
3013,LINC01220
3014,FLVCR2
3015,TTLL5
3016,ESRRB
3017,AC007376.2
3018,LINC01629
3019,NOXRED1
3020,AC008056.1
3021,DIO2
3022,CEP128
3023,TSHR
3024,AC007262.2
3025,STON2
3026,AL355838.1
3027,LINC02301
3028,LINC02328
3029,LINC02296
3030,LINC01146
3031,SPATA7
3032,PTPN21
3033,EML5
3034,TTC8
3035,EFCAB11
3036,KCNK13
3037,RPS6KA5
3038,AL133153.2
3039,CATSPERB
3040,TC2N
3041,RIN3
3042,FAM181A-AS1
3043,PPP4R4
3044,AL133467.2
3045,AL139020.1
3046,LINC02299
3047,LINC02291
3048,LINC01550
3049,AL163932.1
3050,BCL11B
3051,AL110504.1
3052,CYP46A1
3053,WARS
3054,MEG3
3055,LINC02320
3056,TMEM179
3057,AL512356.4
3058,IGHE
3059,IGHG4
3060,IGHG2
3061,IGHG1
3062,IGHG3
3063,IGHM
3064,IGHV3-32
3065,IGHV4-34
3066,IGHV4-39
3067,LINC00221
3068,IGHVIII-76-1
3069,LINC01193
3070,MKRN3
3071,AC087490.1
3072,PWRN1
3073,ATP10A
3074,AC016266.1
3075,GABRB3
3076,GABRG3-AS1
3077,GOLGA6L7
3078,APBA2
3079,LINC02249
3080,ARHGAP11B
3081,OTUD7A
3082,FMN1
3083,AVEN
3084,SLC12A6
3085,AC021231.1
3086,DPH6
3087,DPH6-DT
3088,C15orf41
3089,AC068875.1
3090,LINC02345
3091,SPRED1
3092,LINC02694
